file,combos,dimensions,keys
pilot_grid.json,24,10,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, rebalance_time_ny, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days, anchor_window_start_equity, daily_synthetic_parity"
quick_grid.json,192,10,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, rebalance_time_ny, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days, anchor_window_start_equity, daily_synthetic_parity"
cost_stress_grid.json,288,11,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, rebalance_time_ny, slippage_bps, sell_fee_bps, runtime_stop_price_offset_bps, warmup_days, daily_lookback_days, anchor_window_start_equity, daily_synthetic_parity"
drawdown_guard_grid.json,288,11,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, runtime_stop_price_offset_bps, rebalance_time_ny, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days, anchor_window_start_equity, daily_synthetic_parity"
gpu_native_daily_grid.json,288,10,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, rebalance_time_ny, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days, daily_synthetic_parity_split_adjustment, rebalance_min_trade_weight_delta"
timing_focus_grid.json,336,10,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, rebalance_time_ny, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days, anchor_window_start_equity, daily_synthetic_parity"
execution_modes_grid.json,384,11,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, runtime_stop_price_offset_bps, rebalance_time_ny, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days, anchor_window_start_equity, daily_synthetic_parity"
multi_profile_competition_grid.json,768,10,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, rebalance_time_ny, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days, anchor_window_start_equity, daily_synthetic_parity"
warmup_lookback_grid.json,1152,10,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, rebalance_time_ny, warmup_days, daily_lookback_days, slippage_bps, sell_fee_bps, anchor_window_start_equity, daily_synthetic_parity"
parity_hybrid_grid.json,4096,12,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, rebalance_time_ny, daily_synthetic_parity, daily_synthetic_parity_split_adjustment, paper_live_style_daily_synth_profile, anchor_window_start_equity, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days"
wide_grid_template.json,373248,12,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, rebalance_time_ny, runtime_stop_price_offset_bps, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days, anchor_window_start_equity, daily_synthetic_parity, daily_synthetic_parity_split_adjustment"
mega_grid.json,3145728,13,"strategy_profile, profit_lock_exec_model, runtime_profit_lock_order_type, runtime_stop_price_offset_bps, rebalance_time_ny, slippage_bps, sell_fee_bps, warmup_days, daily_lookback_days, anchor_window_start_equity, daily_synthetic_parity, daily_synthetic_parity_split_adjustment, paper_live_style_daily_synth_profile"
